Ano	Trimestre	UF	Capital	RM_RIDE	UPA	Estrato	V1008	V1014	V1016	V1022	V1023	V1027	V1028	V1029	V1033	posest	posest_sxi	V4012	V4013	V40132A	V4015	V40151	V401511	V401512	V4016	V40161	V40162	V40163	V4017	V40171	V401711	V4018	V40181	V40182	V40183	V4019	V4020	V4021	V4022	V4024	V4025	V4026	V4027	V4028	V4029	V4032	V4033	V40331	V403312	V403322	V4034	V403412	V403422	V4039	V4039C	V4043	V4044	V4045	V4046	V4048	V4050	V40501	V405012	V4051	V40511	V405112	V405122	V405912	V405922	V4062	V4062C	V4063	V4063A	V4064	V4064A
2023	4	26			260000408	2652021	1	11	2	2	4	80.36519115	122.91515122	5519184	8214469	264	206																																																										
2023	4	26			260000408	2652021	1	11	2	2	4	80.36519115	122.91515122	5519184	8096928	264	105	3.0	1105.0	1.0	2.0											4.0					2.0				1.0	1.0			2.0	2.0	1.0	1.0	1320.0		1.0	1320.0		44.0	44.0																		2.0		
2023	4	26			260000408	2652021	1	11	2	2	4	80.36519115	122.91515122	5519184	7089651	264	202																																																										
2023	4	26			260000408	2652021	1	11	2	2	4	80.36519115	122.91515122	5519184	7089651	264	202																																																										
2023	4	26			260000408	2652021	1	11	2	2	4	80.36519115	122.91515122	5519184	6461901	264	201																																																										
2023	4	26			260000408	2652021	1	11	2	2	4	80.36519115	122.91515122	5519184	6461901	264	201																																																										
2023	4	26			260000408	2652021	1	11	2	2	4	80.36519115	122.91515122	5519184	6461901	264	201																																																										
2023	4	26			260000408	2652021	2	11	2	2	4	80.36519115	81.45794613	5519184	5515947	264	213																																																										
2023	4	26			260000408	2652021	2	11	2	2	4	80.36519115	81.45794613	5519184	8464524	264	209																																																										
2023	4	26			260000408	2652021	2	11	2	2	4	80.36519115	81.45794613	5519184	8005483	264	109																																																										
2023	4	26			260000408	2652021	3	11	2	2	4	80.36519115	111.69011568	5519184	8451620	264	208																																																										
